河里有7只鸭子，岸边有5只鸭子，一共有多少只鸭子?	12
飞走了6只小鸟，树上还有8只小鸟，飞走的小鸟比树上的小鸟少几只?	2
12个小朋友玩捉迷藏的游戏，小强已经捉到9人，还有几人没捉到?	3
13个小朋友排成一排，小明的右边有7人，小明的左边有几人?	5
篮球队有15名同学。男生8名，女生有多少人?	7
小明有14张邮票，送给小华7张，又买来6张，现在小明有几张邮票?	13
有12位家长参加家长会，现在有10把椅子，每人坐一把，还差几把?	2
停车场先开走12辆汽车，后来又开走6辆，两次共开走多少辆汽车?	18
停车场停有12辆汽车，后来又开走了6辆，停车场现在停有多少辆汽车?	
一共有14只小鸡，左边有8只，右边有几只?	
小林吃了8块饼干后，小林现在有4块饼干，小林原来有多少块饼干?	
哥哥送给弟弟5支铅笔后，还剩6支，哥哥原来有几支铅笔?	
第二中队有8名男同学，女同学的人数跟男同学同样多，第二中队共有多少名同学?	
大华和小刚每人有10张画片，大华给小刚2张后，小刚比大华多几张?	
猫妈妈给小白5条鱼，给小花4条鱼，小白和小花共吃了6条，它们还有几条?	
同学们到体育馆借球，一班借了9只，二班借了6只。体育馆的球共减少了几只?	
明明从布袋里拿出5个白皮球和5个花皮球后，白皮球剩下10个，花皮球剩下5个。布袋里原来有多少个白皮球，多少个花皮球?	
芳芳做了14朵花，晶晶做了8朵花，芳芳给晶晶几朵花，两人的花就一样多?	
妈妈买回一些鸭蛋和12个鸡蛋，吃了8个鸡蛋后，剩下的鸡蛋和鸭蛋同样多，问妈妈一共买回几个蛋?	
草地上有10只羊，跑走了3只白山羊，又来了7只黑山羊，现在共有几只羊?	
冬冬有5支铅笔，南南有9支铅笔，冬冬再买几支就和南南的一样多?	
小平家距学校2千米，一次他上学走了1千米，想起忘带铅笔盒，又回家去取。这次他到学校共走了多少千米?	
马戏团有1只老虎，3只猴子，黑熊和老虎一样多，问马戏团有几只动物?	
春天来了，小明、小冬和小强到郊外捉蝴蝶，小明捉了3只，小冬捉了5只，他们一共捉了12只，小强捉了几只?	
小华和爸爸、妈妈为植树节义务植树，小华植了1棵，爸爸植了5棵，妈妈比爸爸少植2棵，妈妈植了多少棵，他们一共植了多少棵?	
第一个盘子里有5个梨，第二个盘子里有4个梨，把第一个盘里拿1个放到第二个盘里，现在一共有多少个梨?	
小红有2个玩具，小英有3个玩具，小明的玩具比小红多2个，小明有几个玩具?	
新星小学美术兴趣小组有学生9人，书法兴趣小组的人数和美术兴趣小组的人数同样多，这两个兴趣小组共有多少名学生?	
3个男同学借走6本书，4个女同学借走7本书，他们一共借走多少本书?	
王老师有12元钱，正好买一支钢笔和2个笔记本，如果只买一支钢笔，还剩6元钱，你知道一个笔记本多少钱?	
6个小朋友分一袋苹果，分来分去多2个，问这袋苹果至少有几个?	
一根60米长的绳子，做跳绳用去12米，修排球网用去30米，这根绳子少了多少米?	
商场运回28台电视机，卖出一些后还剩15台，卖出多少台?	
小虎学写毛笔字，第一天写6个，以后每天比前一天多写3个，四天一共写了多少个?	
小云今年8岁，奶奶说：“你长到12岁的时候，我62岁。”奶奶今年多少岁?	
最小的三位数减去最小的两位数，再减去最小的一位数，所得的结果是多少?	
妈妈从家里到工厂要走3千米，一次，她上班走了2千米，又回家取一很重要工具，再到工厂。这次妈妈上班一共走了多少千米?	
冰箱有16个鸡蛋，妈妈又买了10个，奶奶煮了7个，冰箱还有多少个鸡蛋?	
小丽上午学了25个字，下午学了17个字，晚上学了8个字，小丽一天学了多少个字?	
一只兔子有4条腿，一只小鸡有2条腿，一只螃蟹有8条腿，一共有多少条腿?	
