动物园里黄狗和花狗有12只，9只是黄的，有几只是花的？	3
小红拿30元钱去买一本书15元和一枝笔8元，售货员应找回多少元？	7
小图书室有90本图书，借出40本书，还剩下多少本？	50
一（二）班同学共折花58朵，男生折30朵，女生折多少朵？	28
饲养员养了25只白兔，又养8只黑兔，共养兔多少只？	33
学校买来52盒彩色粉笔，用去一些后还剩20盒，用去多少盒？	32
学校有男老师12人，女老师比男老师多30人，女老师有多少人？	42
小玲买一本字典用了8元钱，她付给营业员20元，应找回多少钱？	12
亮亮有40张纸，折纸飞机先用去13张，又用去9张，共用去多少张纸？	22
学校图书馆有一些故事书，借出一半后，还剩30本，学校原来有故事书多少本？	60
动物园里有熊猫4只，猴子24只，小狗30只，小兔7只，（1） 小兔比猴子少多少只？（2）再来多少只熊猫就能和小狗同样多了？（3） 猴子和小狗一共有多少只？	17||26||54
幼儿园阿姨买回两箱饮料，每箱8瓶，要分给4个小朋友，每个小朋友可以分到几瓶饮料？	4
小蓝用3张彩纸做了9朵花，那5张彩纸可以做多少朵花？	15
水果批发市场运回4车梨子，每车9筐，如果每天卖出6筐，可以卖多少天？	6
姐妹两人做花，姐姐做了32朵，比妹妹多做8朵，姐妹两人一共做花多少朵？	56
